timestamp,ch1,ch2,ch3,ch4
1760938063,-134.765625,-35.15625,-399.4140625,-193.8476563
1760938063,-249.0234375,-35.64453125,-828.125,-375
1760938063,80.56640625,-17.578125,77.1484375,121.5820313
1760938063,157.7148438,-20.99609375,560.0585938,214.3554688
1760938063,122.0703125,-15.13671875,464.3554688,208.4960938
1760938063,-207.03125,-47.8515625,-782.2265625,-327.6367188
1760938063,-121.5820313,-55.6640625,-287.5976563,-156.25
1760938063,-20.01953125,-31.25,-44.43359375,25.87890625
1760938064,64.453125,-3.90625,301.2695313,98.14453125
1760938064,0,-19.04296875,486.8164063,172.3632813
1760938064,-253.4179688,-42.96875,-856.9335938,-385.7421875
1760938064,61.03515625,3.41796875,177.2460938,72.265625
1760938064,119.140625,0,564.453125,229.0039063
1760938064,-189.9414063,-22.4609375,-647.4609375,-325.6835938
1760938064,-262.6953125,-51.26953125,-984.8632813,-465.3320313
1760938064,79.1015625,7.8125,384.2773438,129.3945313
1760938064,0,12.6953125,549.3164063,308.1054688
1760938064,-20.99609375,-15.625,239.2578125,-20.99609375
1760938064,-185.0585938,-30.76171875,-682.1289063,-360.3515625
1760938064,-212.890625,-54.6875,-846.6796875,-488.7695313
1760938064,-122.5585938,-41.50390625,-429.1992188,-232.9101563
1760938064,-171.875,-55.17578125,-650.390625,-395.9960938
1760938064,-65.91796875,-4.8828125,-184.5703125,-30.2734375
1760938064,60.05859375,-8.30078125,645.5078125,369.6289063
1760938065,-126.4648438,-51.7578125,-589.3554688,-303.2226563
1760938065,-124.5117188,-36.1328125,-479.4921875,-209.4726563
1760938065,0,-11.23046875,263.671875,224.1210938
1760938065,45.8984375,-9.27734375,375.9765625,287.5976563
1760938065,-180.1757813,-43.9453125,-791.5039063,-527.8320313
1760938065,-208.0078125,-47.36328125,-1000,-569.3359375
1760938065,83.984375,8.30078125,455.5664063,362.7929688
1760938065,69.3359375,15.625,611.328125,368.1640625
1760938065,-88.8671875,-20.01953125,-182.1289063,-193.359375
1760938065,-134.2773438,-56.15234375,-608.3984375,-356.4453125
1760938065,-8.7890625,-18.5546875,83.984375,121.09375
1760938065,-83.0078125,-24.4140625,-293.4570313,-171.3867188
1760938065,-172.3632813,-45.8984375,-753.90625,-479.0039063
1760938065,-16.11328125,-14.16015625,9.27734375,64.453125
1760938065,52.24609375,-25.87890625,573.2421875,327.6367188
1760938065,-134.2773438,-35.64453125,-618.6523438,-398.4375
1760938066,-187.0117188,-61.03515625,-1000,-596.6796875
1760938066,57.12890625,-26.85546875,312.5,274.4140625
1760938066,84.47265625,-8.7890625,583.0078125,385.7421875
1760938066,-34.66796875,-18.5546875,214.3554688,-31.73828125
1760938066,-143.0664063,-34.66796875,-650.390625,-462.4023438
1760938066,-47.36328125,-19.53125,-216.3085938,-59.08203125
1760938066,70.3125,-16.6015625,604.0039063,356.9335938
1760938066,41.015625,-13.671875,494.140625,236.328125
1760938066,-209.4726563,-49.31640625,-897.4609375,-600.0976563
1760938066,0,-31.25,10.25390625,-39.55078125
1760938066,81.54296875,-15.625,465.8203125,430.6640625
1760938066,-112.7929688,-33.203125,-411.6210938,-322.265625
1760938066,-255.3710938,-46.38671875,-888.671875,-829.1015625
1760938066,-12.20703125,-32.71484375,-192.3828125,-78.61328125
1760938066,185.0585938,-28.80859375,523.9257813,775.8789063
1760938067,-275.390625,-62.98828125,-787.109375,-749.5117188
1760938067,8.30078125,-30.76171875,573.2421875,172.3632813
1760938067,41.015625,-17.08984375,473.6328125,132.3242188
1760938067,-31.73828125,4.8828125,119.140625,-127.9296875
1760938067,-160.6445313,-45.8984375,0,-334.9609375
1760938067,0,-29.296875,0,0
1760938067,134.765625,8.30078125,0,0
1760938067,0,2.9296875,409.1796875,122.5585938
1760938067,0,-31.25,0,0
1760938067,-116.2109375,-21.97265625,-334.4726563,-160.6445313
1760938067,0,4.8828125,244.6289063,124.0234375
1760938067,0,-17.08984375,0,0
1760938067,0,-15.13671875,0,0
1760938067,71.77734375,-1.953125,316.40625,71.77734375
1760938067,-248.5351563,-46.875,-864.2578125,132.3242188
1760938067,0,-28.3203125,0,0
1760938067,164.0625,7.32421875,510.7421875,-12.6953125
1760938068,0,-20.99609375,0,-287.5976563
1760938068,26.3671875,-25.87890625,212.890625,0
1760938068,158.6914063,-1.46484375,461.9140625,167.4804688
1760938068,-157.7148438,3.90625,523.9257813,-191.40625
1760938068,0,-42.96875,0,0
1760938068,-80.078125,-12.20703125,-517.0898438,177.734375
1760938068,-248.5351563,-13.18359375,161.1328125,0
1760938068,-128.90625,-54.19921875,-395.5078125,-128.4179688
1760938068,117.1875,7.8125,501.4648438,181.1523438
1760938068,-191.40625,-36.62109375,-625.9765625,-244.6289063
